graph_id,node_id,type_id,prop
0,0,0,1
0,1,1,20.72589337025936
0,2,1,15.71991755873678
0,3,2,5.53188277896213
0,4,3,7.201706633689508
0,5,4,44.42935749590457
0,6,5,13.102673860887473
0,7,6,5.7430949575205155
0,8,4,9.604284261541569
0,9,2,5.452432210979341
0,10,7,32.28632295032128
0,11,8,14.48371988040346
0,12,9,10.062752456588397
0,13,10,1.698416376468062
0,14,5,15.674458289802752
0,15,6,15.91846175602996
0,16,11,7.674097068897483
0,17,5,17.4476869579197
0,18,2,7.0691482551377245
0,19,12,8.3970311356241
0,20,5,19.714383423040005
1,0,0,1
1,1,1,20.72589337025936
1,2,1,15.71991755873678
1,3,2,5.53188277896213
1,4,3,7.201706633689508
1,5,4,44.42935749590457
1,6,5,13.102673860887473
1,7,6,5.7430949575205155
1,8,4,9.604284261541569
1,9,2,5.452432210979341
1,10,7,32.28632295032128
1,11,8,14.48371988040346
1,12,9,10.062752456588397
1,13,10,1.698416376468062
1,14,5,19.71438342304002
1,15,5,15.674458289802752
1,16,6,15.918461756029943
1,17,13,7.674097068897492
1,18,5,17.447686957919714
1,19,2,7.069148255137722
1,20,12,8.3970311356241
2,0,0,1
2,1,1,20.72589337025936
2,2,1,15.71991755873678
2,3,2,5.53188277896213
2,4,3,7.201706633689508
2,5,4,44.42935749590457
2,6,5,13.102673860887473
2,7,6,5.7430949575205155
2,8,4,9.604284261541569
2,9,2,5.452432210979341
2,10,7,32.28632295032128
2,11,8,14.48371988040346
2,12,9,10.062752456588397
2,13,10,1.698416376468062
2,14,5,19.714383423040005
2,15,5,15.674458289802748
2,16,5,15.918461756029973
2,17,11,7.674097068897481
2,18,5,17.447686957919704
2,19,2,7.069148255137704
2,20,12,8.397031135624104
3,0,0,1
3,1,1,20.72589337025936
3,2,1,15.71991755873678
3,3,2,5.53188277896213
3,4,3,7.201706633689508
3,5,4,44.42935749590457
3,6,5,13.102673860887473
3,7,6,5.7430949575205155
3,8,4,9.604284261541569
3,9,2,5.452432210979341
3,10,7,32.28632295032128
3,11,8,14.48371988040346
3,12,9,10.062752456588397
3,13,10,1.698416376468062
3,14,5,19.714383423040005
3,15,5,15.674458289802727
3,16,5,15.918461756029973
3,17,13,7.674097068897481
3,18,5,17.447686957919704
3,19,2,7.069148255137718
3,20,12,8.397031135624104
4,0,0,1
4,1,1,20.72589337025936
4,2,1,15.71991755873678
4,3,2,5.53188277896213
4,4,3,7.201706633689508
4,5,4,44.42935749590457
4,6,5,13.102673860887457
4,7,6,5.7430949575205155
4,8,4,9.604284261541606
4,9,2,5.452432210979332
4,10,8,14.48371988040345
4,11,9,10.0627524565884
4,12,14,1.6984163764680478
4,13,7,32.37265454402415
4,14,5,15.674458289802752
4,15,6,15.91846175602996
4,16,11,7.674097068897483
4,17,5,17.4476869579197
4,18,2,7.0691482551377245
4,19,12,8.3970311356241
4,20,5,19.714383423040005
5,0,0,1
5,1,1,20.72589337025936
5,2,1,15.71991755873678
5,3,2,5.53188277896213
5,4,3,7.201706633689508
5,5,4,44.42935749590457
5,6,5,13.102673860887457
5,7,6,5.7430949575205155
5,8,4,9.604284261541606
5,9,2,5.452432210979332
5,10,8,14.48371988040345
5,11,9,10.0627524565884
5,12,14,1.6984163764680478
5,13,7,32.37265454402415
5,14,5,19.71438342304002
5,15,5,15.674458289802752
5,16,6,15.918461756029943
5,17,13,7.674097068897492
5,18,5,17.447686957919714
5,19,2,7.069148255137722
5,20,12,8.3970311356241
6,0,0,1
6,1,1,20.72589337025936
6,2,1,15.71991755873678
6,3,2,5.53188277896213
6,4,3,7.201706633689508
6,5,4,44.42935749590457
6,6,5,13.102673860887457
6,7,6,5.7430949575205155
6,8,4,9.604284261541606
6,9,2,5.452432210979332
6,10,8,14.48371988040345
6,11,9,10.0627524565884
6,12,14,1.6984163764680478
6,13,7,32.37265454402415
6,14,5,19.714383423040005
6,15,5,15.674458289802748
6,16,5,15.918461756029973
6,17,11,7.674097068897481
6,18,5,17.447686957919704
6,19,2,7.069148255137704
6,20,12,8.397031135624104
7,0,0,1
7,1,1,20.72589337025936
7,2,1,15.71991755873678
7,3,2,5.53188277896213
7,4,3,7.201706633689508
7,5,4,44.42935749590457
7,6,5,13.102673860887457
7,7,6,5.7430949575205155
7,8,4,9.604284261541606
7,9,2,5.452432210979332
7,10,8,14.48371988040345
7,11,9,10.0627524565884
7,12,14,1.6984163764680478
7,13,7,32.37265454402415
7,14,5,19.714383423040005
7,15,5,15.674458289802727
7,16,5,15.918461756029973
7,17,13,7.674097068897481
7,18,5,17.447686957919704
7,19,2,7.069148255137718
7,20,12,8.397031135624104
8,0,0,1
8,1,1,20.72589337025936
8,2,1,15.71991755873678
8,3,2,5.53188277896213
8,4,3,7.201706633689508
8,5,4,44.42935749590457
8,6,2,5.452432210979334
8,7,7,32.286322950321306
8,8,8,14.483719880403441
8,9,10,1.6984163764680742
8,10,5,16.545294614224957
8,11,4,9.72409714836144
8,12,15,3.3798036273737386
8,13,9,9.023468008245196
8,14,5,15.674458289802752
8,15,6,15.91846175602996
8,16,11,7.674097068897483
8,17,5,17.4476869579197
8,18,2,7.0691482551377245
8,19,12,8.3970311356241
8,20,5,19.714383423040005
9,0,0,1
9,1,1,20.72589337025936
9,2,1,15.71991755873678
9,3,2,5.53188277896213
9,4,3,7.201706633689508
9,5,4,44.42935749590457
9,6,2,5.452432210979334
9,7,7,32.286322950321306
9,8,8,14.483719880403441
9,9,10,1.6984163764680742
9,10,5,16.545294614224957
9,11,4,9.72409714836144
9,12,15,3.3798036273737386
9,13,9,9.023468008245196
9,14,5,19.71438342304002
9,15,5,15.674458289802752
9,16,6,15.918461756029943
9,17,13,7.674097068897492
9,18,5,17.447686957919714
9,19,2,7.069148255137722
9,20,12,8.3970311356241
10,0,0,1
10,1,1,20.72589337025936
10,2,1,15.71991755873678
10,3,2,5.53188277896213
10,4,3,7.201706633689508
10,5,4,44.42935749590457
10,6,2,5.452432210979334
10,7,7,32.286322950321306
10,8,8,14.483719880403441
10,9,10,1.6984163764680742
10,10,5,16.545294614224957
10,11,4,9.72409714836144
10,12,15,3.3798036273737386
10,13,9,9.023468008245196
10,14,5,19.714383423040005
10,15,5,15.674458289802748
10,16,5,15.918461756029973
10,17,11,7.674097068897481
10,18,5,17.447686957919704
10,19,2,7.069148255137704
10,20,12,8.397031135624104
11,0,0,1
11,1,1,20.72589337025936
11,2,1,15.71991755873678
11,3,2,5.53188277896213
11,4,3,7.201706633689508
11,5,4,44.42935749590457
11,6,2,5.452432210979334
11,7,7,32.286322950321306
11,8,8,14.483719880403441
11,9,10,1.6984163764680742
11,10,5,16.545294614224957
11,11,4,9.72409714836144
11,12,15,3.3798036273737386
11,13,9,9.023468008245196
11,14,5,19.714383423040005
11,15,5,15.674458289802727
11,16,5,15.918461756029973
11,17,13,7.674097068897481
11,18,5,17.447686957919704
11,19,2,7.069148255137718
11,20,12,8.397031135624104
12,0,0,1
12,1,1,20.72589337025936
12,2,1,15.71991755873678
12,3,2,5.53188277896213
12,4,3,7.201706633689508
12,5,4,44.42935749590457
12,6,14,1.6984163764680602
12,7,8,14.483719880403461
12,8,7,32.28632295032125
12,9,2,5.452432210979371
12,10,5,16.545294614224932
12,11,4,9.724097148361363
12,12,15,3.379803627373738
12,13,9,9.023468008245201
12,14,5,15.674458289802752
12,15,6,15.91846175602996
12,16,11,7.674097068897483
12,17,5,17.4476869579197
12,18,2,7.0691482551377245
12,19,12,8.3970311356241
12,20,5,19.714383423040005
13,0,0,1
